experiment,num_agents,forbidden_actions,norm_mode,social_exposure,task_variant,visibility_mode,norm_prompt_variant,num_episodes,mean_entropy,std_entropy,min_entropy,max_entropy,mean_forbidden_rate,mean_transition_entropy,mean_action_persistence,mean_policy_divergence,episode_diversity,parser_failures
solo_phi_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen35_9b,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen35_9b_exposed,1,none,soft,True,social_game,full,soft_default,100,0.006325269009555964,0.03596700210005073,-0.0,0.21084230031853213,0.0,0.010784304704020191,0.9982758620689656,0.0,0.0009080847903819269,3
solo_qwen3_ollama,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen3_ollama_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
temp_high,3,none,none,False,social_game,full,soft_default,100,0.06352092772102148,0.2568795630390747,-0.0,1.781650569267271,0.0,0.09801125816904417,0.9859770114942529,0.677731763475667,0.05124817084874936,8
temp_low,3,none,none,False,social_game,full,soft_default,100,0.005394710456442047,0.03572388570670834,-0.0,0.35335933502142136,0.0,0.00767483137378733,0.9987356321839082,0.6583906749607276,0.0321539490335796,1
temp_mid,3,none,none,False,social_game,full,soft_default,100,0.02475862381866962,0.14119339713939466,-0.0,1.0322683996633863,0.0,0.03314207568599674,0.9963218390804597,0.6642432301826443,0.03826684587516933,5
